venue_id,invoice_id,datetime_created,total
f74fee330886,9b03147623c04eb188461b994e459053,2019-10-18 20:47:42.719,58.24
e72a9b2091e0,ceaf1e7f1bd34b2ea7071e5a03d8256a,2019-10-18 13:40:18.006,25.33
e72a9b2091e0,eafe6504a13342c2be9d45b2a57866b1,2019-10-18 13:16:08.971,30.3
e72a9b2091e0,53460a89c1084a3c9a8239b6c5f90804,2019-10-18 13:41:24.754,14.81
48af26beb80f,3179fa672d74454f9639168de27b3afe,2019-10-18 11:31:41.334,7.06
e72a9b2091e0,22d8131fc37c4e4b940c40b40ecc9e9b,2019-10-18 16:02:36.196,21.5
e72a9b2091e0,54a2afc0d0744cc484fe5cf01ac97e75,2019-10-18 15:47:47.374,16.53
48af26beb80f,21738af682d04251b8eff62c4571572b,2019-10-18 10:00:20.704,9.52
e72a9b2091e0,52e680d4a98d492c97cc4fccb2ee538a,2019-10-18 14:43:59.607,23.69
48af26beb80f,8d64e96cd3c34d2db9361ca19fc1b876,2019-10-18 11:17:58.049,2.63
48af26beb80f,5229773d6c9f40829854713fd2dae424,2019-10-18 10:44:16.469,8.68
48af26beb80f,d904831c42db4ba0b6f225f67b40edcf,2019-10-18 10:18:55.863,5.02
48af26beb80f,2516c1cee1914a128384d4ac4b70c058,2019-10-18 09:53:17.886,9.21
48af26beb80f,83faebc0534245079cd31d6a6bafd3ba,2019-10-18 10:29:19.934,3.46
e72a9b2091e0,811f7889c1054e55b0745640c7712e5a,2019-10-18 13:29:54.965,43.64
e72a9b2091e0,cf291ef5e98142bcbb4a6554d7ababda,2019-10-18 15:15:47.157,4.01
e72a9b2091e0,c8f7f92f8dba4356a3cd4b25eb005609,2019-10-18 14:56:44.686,2.13
48af26beb80f,a3c97e61d64847fab4a210cb7a6435f3,2019-10-18 09:03:24.262,12.59
48af26beb80f,31a81e27a3f741f4b8a3f2601996940a,2019-10-18 14:34:33.706,284.31
e72a9b2091e0,81c17c213526480b8420e2b2f760e8ce,2019-10-18 13:31:55.545,16.16
48af26beb80f,1e4829b8d1a34796ac106284550c103a,2019-10-18 08:45:43.211,2.87
e72a9b2091e0,183d9f4b28b14622ab82460601d764f5,2019-10-18 12:18:34.331,25.91
48af26beb80f,936c54cdc3784342877945ce7a50f2d0,2019-10-18 11:44:54.070,4.68
48af26beb80f,e13de743887040d6959c13666cc9f78c,2019-10-18 10:51:01.024,3.65
48af26beb80f,8555ea85d50f471aa81f997b0a6aa0f1,2019-10-18 09:01:18.288,6.64
48af26beb80f,cb2fbe5b32ab4a4ab61be536c2930c9c,2019-10-18 10:53:07.173,2.11
48af26beb80f,f760924bd99e4dd086ef09c17314f32a,2019-10-18 09:46:58.686,6.11
e72a9b2091e0,8232f0cc21134410b45c79c60846925d,2019-10-18 14:33:37.052,21.49
48af26beb80f,a5ed4b674235442da8259e20a7366398,2019-10-18 09:27:01.033,14.52
e72a9b2091e0,718484b5f5a14ad29c325d6119f6a711,2019-10-18 15:34:53.448,34.18
fdfb5031bc10,5999ca1048d643378b3eba9dd5389b6d,2019-10-18 10:57:32.967,6.96
48af26beb80f,38e0dc0912894d14a56d2c9820c59315,2019-10-18 11:26:10.381,4.81
48af26beb80f,165718eb3d0a40ca8d2ddeefc0e0e46e,2019-10-18 10:10:34.352,28.53
48af26beb80f,156d558309154749b751e0a61ed9b671,2019-10-18 12:05:00.065,3.69
fdfb5031bc10,1b987f6ef0034f97a7dcf79c577841fa,2019-10-18 11:33:16.175,3.83
48af26beb80f,12fb1d488ee84cafb1badc470ad58d68,2019-10-18 08:37:03.464,5.74
fdfb5031bc10,a783904a563f42b39e071072f9b8c449,2019-10-18 20:13:50.975,0.8
fdfb5031bc10,c1d8fa2eb7cf4e4f974b98fe93cce5a1,2019-10-18 12:26:16.038,0.7
a71e60b1e54e,998cec2c534b4d90b2e4afe563fff357,2019-10-18 21:03:45.953,9.09
48af26beb80f,47d6e69562514549a9f25f6606ae5a35,2019-10-18 08:02:50.512,5.26
48af26beb80f,3717147428b84c1f80ba66fd0869edbd,2019-10-18 11:03:13.000,5.79
a71e60b1e54e,c0817ad5b4484662877a54cf6d3c7dab,2019-10-18 23:21:32.457,10.68
1e2ea2a0a8f4,da0e33d41c584152b34b52aea0541f1e,2019-10-18 13:28:42.023,0.55
a71e60b1e54e,b46c44320f96473ab526dbd9784271b1,2019-10-18 19:07:36.693,6.44
1e2ea2a0a8f4,9154430cc7c04617823cf927387f9371,2019-10-18 11:45:00.365,0.29
1e2ea2a0a8f4,2cae174b98a444a0bbe5056b5ef06e42,2019-10-18 13:08:36.686,4.92
a71e60b1e54e,5ca0019f75134355b58fb34cb6691f38,2019-10-18 14:35:06.166,5.1
a71e60b1e54e,2ef3d59baf50427bb5767ad67e951a54,2019-10-18 17:21:58.345,12.25
1e2ea2a0a8f4,a8aa83ab394b4707a2d539164b9a2d31,2019-10-18 13:37:47.909,8.84
1e2ea2a0a8f4,d1cae31fc1724f2caca920f264ea72d9,2019-10-18 13:32:03.151,5.32
1e2ea2a0a8f4,d76d2a617c414352adb402528b5250a2,2019-10-18 12:15:47.642,3.83
1e2ea2a0a8f4,b2eefa2107224bd382cf4109d7e0937c,2019-10-18 12:38:44.663,6.93
1e2ea2a0a8f4,2b58e724529c417aa2944b964ac1c306,2019-10-18 12:00:27.909,8.98
1e2ea2a0a8f4,136e19d4b00f40b697ba7439b051c72d,2019-10-18 11:47:42.340,13.09
a71e60b1e54e,0719542316e5409eb4b22c6cf630c324,2019-10-18 14:40:25.336,3.29
a71e60b1e54e,6704b18d0f5944dab2327a38d2d878a8,2019-10-18 21:06:42.766,1.31
1e2ea2a0a8f4,dd1c54e4f4704c7da4f1897fe3452918,2019-10-18 15:03:16.569,10.25
1e2ea2a0a8f4,33a51032d9d541b2b8585037631aa7eb,2019-10-18 12:11:05.830,11.07
dd6103b47327,1149eaef5d8d41e89f158a55ea3c9a60,2019-10-18 11:18:18.592,1.58
dd6103b47327,d7860a97fb3d4c2dad9912c9f0801f46,2019-10-18 10:05:21.955,0.35
a71e60b1e54e,d34ba8ca4cc040149eda45b44b2543b9,2019-10-18 20:06:43.075,1.03
dd6103b47327,1f0c0b2c60dd460ab03b1bcb8c50041b,2019-10-18 10:21:15.428,7.36
a71e60b1e54e,59701cce25614767ad9e15af13ef3c2a,2019-10-18 22:17:53.337,7.27
dd6103b47327,51e68657c945424092aba927648a8a6a,2019-10-18 11:45:33.072,1.7
a71e60b1e54e,a2bd461a54c643e688d69a43fb4d7d84,2019-10-18 16:22:12.269,15.16
dd6103b47327,cccafa04c8144ddb8eb097687d60b962,2019-10-18 14:17:37.204,1.25
dd6103b47327,aff0b74fab6e497487824f09376bd8bc,2019-10-18 11:29:05.022,0.91
831e6bd92db1,c33db7e9dad34186b8e3e07a0cc86380,2019-10-18 20:36:29.902,78.67
489203c7843b,d79e2d86d09d4a98bfb28dcdb8ca450a,2019-10-18 19:03:07.088,56.56
99fb3a5b96a6,b2c4531bd575402c93c51be131394446,2019-10-18 12:37:17.623,6.93
489203c7843b,81b96ab3d4ba4e709c0992abb8b30a03,2019-10-18 18:49:51.421,2.87
99fb3a5b96a6,5aa15031acb44a65a7ba4a2acbb65777,2019-10-18 14:53:49.939,4.25
99fb3a5b96a6,bfccc2a306434fa0adfacfe245c6d19a,2019-10-18 13:36:43.494,1.79
9b1eb4e0d050,0a6bd8619e2643b1a1b40fd25602a596,2019-10-18 18:57:52.501,12.62
9b1eb4e0d050,2b13f3f62efd43b3a31934ed2b854c0b,2019-10-18 23:04:27.723,24.18
99fb3a5b96a6,0f2744c1520e4cc39260a9b6e9c85b01,2019-10-18 13:38:23.503,2.37
9b1eb4e0d050,fddb972b01df4293aefc6ed4a3990a05,2019-10-18 19:41:29.991,153.98
9b1eb4e0d050,65eb290dc67d4280a585f19d86a2ab89,2019-10-18 23:21:25.351,19.86
99fb3a5b96a6,2829f08f5946459f8386b226872d2c86,2019-10-18 11:17:05.522,1.16
99fb3a5b96a6,762db2c724724dfaa87235f0e8014fbc,2019-10-18 18:27:49.247,3.06
9b1eb4e0d050,0242c62693574f8bb1e1ef53e2dc5ee4,2019-10-18 23:21:23.768,19.66
9b1eb4e0d050,eeb3fe1db27b45afb3ecdfbeb566e3d6,2019-10-18 19:32:01.357,8.81
9b1eb4e0d050,d54ee0714b2945359f5e50c61fc4ffba,2019-10-18 18:05:41.058,5.09
9b1eb4e0d050,fa2f60438c3a424087016a5c1e74fd9e,2019-10-18 19:13:53.434,8.47
9b1eb4e0d050,bbe71cde2561436d938276b5126bd7b7,2019-10-18 20:22:51.680,58.89
9b1eb4e0d050,3b4dca7fe4b6497ebef0bf2e215fe2a9,2019-10-18 20:55:36.512,35.26
f60090deb204,f6d0992d4663423699d8784a1c1372ab,2019-10-18 18:10:49.929,28.26
8f045373f3de,1c38e550f02545a388162d0c53b39b8e,2019-10-18 12:13:33.243,1.08
