venue_id,invoice_id,datetime_created,total
5d2f20530ac3,44eb1b9ab56449b9822dd28d2e5f8dc4,2019-10-17 12:21:15.055,2.55
5d2f20530ac3,dc8e2e7376f64e90bcaed351acec8b2c,2019-10-17 13:20:40.814,3.58
de4fdd7955b0,b3b9e7c3629a4aa6a33f9cb0e4637a96,2019-10-17 15:51:24.354,3.53
de4fdd7955b0,f1386d0e37434e4eae87fcbf43e757b6,2019-10-17 15:47:54.036,5.91
de4fdd7955b0,6dda1a0b77f84ff99f3b083ef285d06f,2019-10-17 12:16:05.163,15.86
de4fdd7955b0,ad4f6b8c50d748fc8e0eb4e1e78343e3,2019-10-17 13:50:47.478,6.91
5d2f20530ac3,f5059c73ac4541cdba2aebdccb1389a6,2019-10-17 14:03:17.823,1.13
5d2f20530ac3,6a231cea608444e39beda189caaaf3d0,2019-10-17 17:33:56.691,2.31
5d2f20530ac3,17f9c38c490144428a432963bd122421,2019-10-17 17:44:04.654,3.65
985a6c718825,8df081cbe303416c820092d79ad758e3,2019-10-17 18:44:54.317,12.12
5d2f20530ac3,00e06980dad54fc5afedc6a0704aa3dc,2019-10-17 17:07:31.739,0.89
5d2f20530ac3,3928776e7dcb4a3a9377951125605bd4,2019-10-17 17:08:31.961,3.78
5d2f20530ac3,97ca1b6308214a6cb153411541f77adb,2019-10-17 17:10:23.395,1.02
985a6c718825,7b4bf9b8fe8c445cb9fd2b1c1ba72755,2019-10-17 08:45:52.412,38.45
985a6c718825,071c67a5c746409db4f409f473a5f2f8,2019-10-17 11:49:36.799,52.11
5d2f20530ac3,522275421b8644ab91e69d73c7cbc08e,2019-10-17 12:39:44.743,6.96
5d2f20530ac3,8870aaa04efa434498f26af80d531259,2019-10-17 14:37:50.100,5.19
5d2f20530ac3,fcf1560bd7b44626a25cf9f7abfea8d8,2019-10-17 14:46:48.219,1.88
985a6c718825,90caf5fa10e24d28a67d9672077a46f4,2019-10-17 16:14:12.939,17.2
5d2f20530ac3,8184aaf8cbba4bf59e2364134691f7d2,2019-10-17 17:58:46.933,7.27
985a6c718825,e96abb69a89a48a5a2a0a586d9bb6a91,2019-10-17 09:36:46.882,2.87
985a6c718825,3205c70e93864ae39268041d332c874e,2019-10-17 09:55:05.795,16.53
985a6c718825,16b8bba83cd240ec9405cd5e8ae3106d,2019-10-17 10:01:02.908,12.94
